t,year,height,station,u2,v2,surge_mm,height - surge,height - surge anomaly,psmsl_id,wind_variant
1862-01-01,1862.0,-142.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-170.6008590308928,-142.0,20,NCEP1
1863-01-01,1863.0,-161.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-189.6008590308928,-161.0,20,NCEP1
1864-01-01,1864.0,-196.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-224.6008590308928,-196.0,20,NCEP1
1865-01-01,1865.0,-167.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-195.6008590308928,-167.0,20,NCEP1
1866-01-01,1866.0,-95.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-123.6008590308928,-95.0,20,NCEP1
1867-01-01,1867.0,-96.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-124.6008590308928,-96.0,20,NCEP1
1868-01-01,1868.0,-104.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-132.6008590308928,-104.0,20,NCEP1
1869-01-01,1869.0,-102.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-130.6008590308928,-102.0,20,NCEP1
1870-01-01,1870.0,-168.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-196.6008590308928,-168.0,20,NCEP1
1871-01-01,1871.0,-172.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-200.6008590308928,-172.0,20,NCEP1
1872-01-01,1872.0,-132.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-160.6008590308928,-132.0,20,NCEP1
1873-01-01,1873.0,-127.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-155.6008590308928,-127.0,20,NCEP1
1874-01-01,1874.0,-144.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-172.6008590308928,-144.0,20,NCEP1
1875-01-01,1875.0,-172.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-200.6008590308928,-172.0,20,NCEP1
1876-01-01,1876.0,-117.0,20,6.3112592697143555,2.3649985790252686,28.600859030892803,-145.6008590308928,-117.0,20,NCEP1
