# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# predicted_broken_linear -> fitted sea surface height based on broken linear model [mm relative to NAP(2005)] 
# predicted_broken_linear_ci_025 -> fitted sea surface height based on broken linear model, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_broken_linear_ci_975']  -> fitted sea surface height based on broken linear model, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_broken_linear_pi_025']  -> fitted sea surface height based on broken linear model, 2.5% prediction interval [mm relative to NAP(2005)] 
# predicted_broken_linear_pi_975']  -> fitted sea surface height based on broken linear model, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_linear  -> fitted nodal tide based on linear model  [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_broken_linear  -> fitted nodal tide based on broken linear model with wind [mm relative to NAP(2005)]
t,year,height,u2,v2,surge_mm,station,height - surge,height - surge anomaly,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,predicted_broken_linear,predicted_broken_linear_ci_025,predicted_broken_linear_ci_975,predicted_broken_linear_pi_025,predicted_broken_linear_pi_975,sea_surface_height_due_to_tide_linear,sea_surface_height_due_to_tide_broken_linear,date
1896-01-01,1896.0,-197.6,6.343871,2.392497,44.512700279247234,10001,-242.11270027924724,-197.6,-171.00364753738825,-173.6883082593892,-172.63350303486706,-183.25915092392756,-162.00785514580656,-217.03731942957018,-128.22968664016395,-168.28901850460147,-180.42297658856475,-156.1550604206382,-208.71334045973214,-127.86469654947079,2.109725587544678,2.645802815050944,1896-01-01
1897-01-01,1897.0,-190.8,6.343871,2.392497,44.512700279247234,10001,-235.31270027924725,-190.8,-173.5433315166486,-176.00461220227766,-170.76844236451836,-181.27837175066043,-160.2585129783763,-215.14471004279324,-126.3921746862435,-170.54223917211007,-182.85487588139836,-158.2296024628218,-211.0205529893085,-130.06392535491165,-2.125135628022665,-1.3848357256648711,1897-01-01
1898-01-01,1898.0,-153.0,6.343871,2.392497,44.512700279247234,10001,-197.51270027924724,-153.0,-175.76979902668904,-178.0810408054568,-168.90338169416964,-179.29789910864778,-158.5088642796915,-213.25245732864144,-124.55430605969784,-172.6391460798026,-185.13657444306168,-160.14171771654352,-213.17405180861212,-132.10424035099308,-6.120121503880727,-5.259160506564555,1898-01-01
1899-01-01,1899.0,-151.0,6.343871,2.392497,44.512700279247234,10001,-195.51270027924724,-151.0,-177.22121756173482,-179.46665880556344,-167.03832102382094,-177.31774332261222,-156.75889872502967,-211.36056194357926,-122.71608010406263,-174.14242362263835,-186.79697292409801,-161.48787432117868,-214.72604697950183,-133.55880026577486,-9.424296776666289,-8.539855922607476,1899-01-01
1900-01-01,1900.0,-189.4,6.343871,2.392497,44.512700279247234,10001,-233.91270027924725,-189.4,-177.5232385082,-179.78850639920108,-165.17326035347224,-175.33791515590826,-155.00860555103623,-209.46902453702478,-120.8774961699197,-174.68176229329515,-187.43004922870878,-161.93347535788152,-215.29471203271103,-134.06881255387927,-11.664701642982822,-10.85661246647148,1900-01-01
1901-01-01,1901.0,-210.2,6.343871,2.392497,44.512700279247234,10001,-254.71270027924723,-210.2,-176.43125185994825,-178.7936971958225,-163.30819968312352,-173.35842583218528,-153.25797353406176,-207.57784575127607,-119.03855361497097,-173.99565748206493,-186.74313196760355,-161.2481829965263,-214.6083522031511,-133.38296276097876,-12.588449712283126,-11.947925528448406,1901-01-01
1902-01-01,1902.0,-238.0,6.343871,2.392497,44.512700279247234,10001,-282.5127002792472,-238.0,-173.85799664820877,-176.37796284708918,-161.44313901277482,-171.37928705820391,-151.50699096734573,-205.68702622143786,-117.1992518041118,-171.9609268903597,-184.59319688063204,-159.32865690008737,-212.53760876376845,-131.38424501695096,-12.09127263622873,-11.690612809950366,1902-01-01
1903-01-01,1903.0,-129.4,6.343871,2.392497,44.512700279247234,10001,-173.91270027924725,-129.4,-169.88341055034954,-172.59742236886143,-159.5780783424261,-169.40051104786548,-149.7556456369867,-203.7965665753485,-115.3595901095037,-168.60661477067208,-181.00589912695744,-156.20733041438672,-209.11136905083907,-128.1018604905051,-10.229289430679865,-10.1137185634699,1903-01-01
1904-01-01,1904.0,-155.4,6.343871,2.392497,44.512700279247234,10001,-199.91270027924725,-155.4,-164.74560689988064,-167.66224768996784,-157.7130176720774,-167.42211054751567,-148.00392479663913,-201.90646743350806,-113.51956791064673,-164.11071354761353,-176.17438673136786,-152.0470403638592,-204.51399407572308,-123.70743301950398,-7.212672024465176,-7.395235213618541,1904-01-01
1905-01-01,1905.0,-172.8,6.343871,2.392497,44.512700279247234,10001,-217.31270027924725,-172.8,-158.81399757046574,-161.91294043089175,-155.84795700172867,-165.44409886258546,-146.25181514087188,-200.01672940900642,-111.67918459445094,-158.78007286806815,-170.43751469930436,-147.12263103683193,-199.06392592108853,-118.49621981504777,-3.3819220380679695,-3.8420124072803445,1905-01-01
