# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and tide [mm relative to NAP(2005)]
# predicted_linear -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and 0 nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
index,year,height,u2,v2,predicted_linear_with_wind,predicted_linear,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,date
28,1890,-194.66666666666666,3.3360465,0.68417215,-164.36115220153403,-167.71852917260443,-173.60345167787304,-182.46026550194162,-164.74663785380446,-220.51364005159087,-126.6932633041552,1890-01-01
29,1891,-179.0,3.3360465,0.68417215,-160.92086043686126,-163.48868163687703,-171.7426895165298,-180.50332139809052,-162.98205763496907,-218.63481351521105,-124.85056551784854,1891-01-01
30,1892,-166.5,3.3360465,0.68417215,-158.70208596855795,-160.68870053611758,-169.8819273551865,-178.54662410041968,-161.2172306099533,-216.75622299608477,-123.00763171428821,1892-01-01
31,1893,-142.16666666666666,3.3360465,0.68417215,-157.74523954623461,-159.41716700153194,-168.0211651938432,-176.59018189835027,-159.4521484893361,-214.87786876361645,-121.16446162406993,1893-01-01
32,1894,-141.83333333333334,3.3360465,0.68417215,-157.9482914019522,-159.60013817370182,-166.16040303249994,-174.6340034331572,-157.68680263184268,-212.99975108404203,-119.32105498095785,1894-01-01
33,1895,-173.0,3.3360465,0.68417215,-159.0782878917592,-160.9994935256566,-164.29964087115664,-172.67809771538202,-155.92118402693126,-211.12187022040942,-117.47741152190386,1895-01-01
34,1896,-185.0,3.3360465,0.68417215,-160.7976462101287,-163.23981279082508,-162.4388787098134,-170.72247414318085,-154.15528327644594,-209.24422643255963,-115.63353098706716,1896-01-01
35,1897,-179.33333333333334,3.3360465,0.68417215,-162.70225915329132,-165.85075164145863,-160.5781165484701,-168.7671425216549,-152.38909057528528,-207.3668199771074,-113.78941311983279,1897-01-01
36,1898,-138.33333333333334,3.3360465,0.68417215,-164.36710884454493,-168.32013194974678,-158.71735438712685,-166.81211308321627,-150.62259569103742,-205.48965110742267,-111.94505766683102,1898-01-01
37,1899,-141.0,3.3360465,0.68417215,-165.39424075822404,-170.1517540520235,-156.85659222578354,-164.85739650903946,-148.85578794252763,-203.61272007361165,-110.10046437795543,1899-01-01
38,1900,-176.5,3.3360465,0.68417215,-165.45768295957043,-170.9214054389021,-154.9958300644403,-162.90300395165482,-147.08865617722577,-201.73602712249868,-108.25563300638193,1900-01-01
39,1901,-196.83333333333334,3.3360465,0.68417215,-164.34024028744525,-170.32474387316046,-153.135067903097,-160.94894705873787,-145.32118874745612,-199.8595724976076,-106.41056330858642,1901-01-01
40,1902,-225.16666666666666,3.3360465,0.68417215,-161.9580103251569,-168.21165011366986,-151.27430574175375,-158.99523799815267,-143.55337348535483,-197.9833564391441,-104.5652550443634,1902-01-01
41,1903,-113.83333333333333,3.3360465,0.68417215,-158.3698539116323,-164.60317267105603,-149.41354358041045,-157.04188948430564,-141.78519767651525,-196.1073791839776,-102.7197079768433,1903-01-01
42,1904,-151.83333333333334,3.3360465,0.68417215,-153.77075120606227,-159.6891519505677,-147.55278141906717,-155.0889148058696,-140.01664803226475,-194.2316409656238,-100.87392187251056,1904-01-01
43,1905,-176.66666666666666,3.3360465,0.68417215,-148.4697932422728,-153.80679195776008,-145.6920192577239,-153.13632785493508,-138.24771066051272,-192.35614201422703,-99.02789650122077,1905-01-01
44,1906,-139.83333333333334,3.3360465,0.68417215,-142.85529318291404,-147.40259829232608,-143.83125709638063,-151.1841431576478,-136.47837103511344,-190.4808825565433,-97.18163163621796,1906-01-01
45,1907,-162.66666666666666,3.3360465,0.68417215,-137.35095535141488,-140.98197869076446,-141.97049493503735,-149.23237590638854,-134.70861396368616,-188.60586281592313,-95.33512705415157,1907-01-01
46,1908,-169.83333333333334,3.3360465,0.68417215,-132.36804947574467,-135.05219497218252,-140.10973277369408,-147.28104199355056,-132.9384235538376,-186.73108301229485,-93.48838253509331,1908-01-01
47,1909,-119.5,3.3360465,0.68417215,-128.25898849097436,-130.0651057039522,-138.2489706123508,-145.33015804696623,-131.16778317773537,-184.856543362148,-91.64139786255362,1909-01-01
48,1910,-110.33333333333333,3.3360465,0.68417215,-125.27754982049564,-126.36616252649996,-136.3882084510075,-143.3797414670307,-129.3966754349843,-182.982244078517,-89.794172823498,1910-01-01
49,1911,-132.33333333333334,3.3360465,0.68417215,-123.55023017105427,-124.15541719280694,-134.52744628966425,-141.42981046556517,-127.62508211376334,-181.10818537096526,-87.94670720836326,1911-01-01
50,1912,-70.16666666666667,3.3360465,0.68417215,-123.06196717794657,-123.46494066506668,-132.66668412832095,-139.4803841064539,-125.85298415018801,-179.23436744556886,-86.09900081107304,1912-01-01
51,1913,-98.83333333333333,3.3360465,0.68417215,-123.6578395740826,-124.15520309493215,-130.8059219669777,-137.53148234808262,-124.08036158587281,-177.36079050490153,-84.25105342905388,1913-01-01
52,1914,-86.5,3.3360465,0.68417215,-125.060553975809,-125.93082329819882,-128.9451598056344,-135.58312608759138,-122.30719352367744,-175.48745474801856,-82.40286486325024,1914-01-01
53,1915,-124.33333333333333,3.3360465,0.68417215,-126.90174445914568,-128.37390999710985,-127.08439764429116,-133.6353372069446,-120.53345808163773,-173.61436037044234,-80.55443491813998,1915-01-01
54,1916,-73.33333333333333,3.3360465,0.68417215,-128.76355197711214,-130.9912314272704,-125.22363548294786,-131.68813862080066,-118.75913234509505,-171.74150756414681,-78.7057634017489,1916-01-01
55,1917,-127.83333333333333,3.3360465,0.68417215,-130.22579032858252,-133.26988902523664,-123.36287332160458,-129.741554326147,-116.98419231706217,-169.8688965175433,-76.85685012566586,1917-01-01
56,1918,-131.5,3.3360465,0.68417215,-130.9133748053838,-134.73521101211617,-121.50211116026131,-127.79560945363856,-115.20861286688405,-167.9965274154658,-75.00769490505681,1918-01-01
57,1919,-153.66666666666666,3.3360465,0.68417215,-130.53865999446035,-135.00433111706735,-119.64134899891803,-125.85033032055244,-113.43236767728362,-166.12440043915683,-73.15829755867924,1919-01-01
58,1920,-149.16666666666666,3.3360465,0.68417215,-128.93390784262368,-133.82940472575095,-117.78058683757476,-123.90574448523563,-111.65542918991389,-164.25251576625362,-71.3086579088959,1920-01-01
59,1921,-119.33333333333333,3.3360465,0.68417215,-126.07022114106061,-131.12558441764486,-115.91982467623149,-121.96188080288425,-109.87776854957872,-162.38087357077436,-69.45877578168862,1921-01-01
60,1922,-126.33333333333333,3.3360465,0.68417215,-122.060805306694,-126.9805971448144,-114.05906251488821,-120.01876948244767,-108.09935554732876,-160.50947402310476,-67.60865100667165,1922-01-01
61,1923,-104.0,3.3360465,0.68417215,-117.14819028581886,-121.6448420251304,-112.19830035354494,-118.07644214439703,-106.32015856269284,-158.63831728998503,-65.75828341710485,1923-01-01
62,1924,-130.0,3.3360465,0.68417215,-111.67685491158332,-115.50312646458066,-110.33753819220166,-116.13493187903867,-104.54014450536465,-156.7674035344968,-63.90767284990653,1924-01-01
63,1925,-75.16666666666667,3.3360465,0.68417215,-106.05434374941049,-109.03123090258936,-108.47677603085836,-114.19427330498311,-102.75927875673361,-154.89673291605058,-62.05681914566614,1925-01-01
64,1926,-93.0,3.3360465,0.68417215,-100.70526537843114,-102.74220494811807,-106.61601386951511,-112.25450262730304,-100.97752511172719,-153.02630559037357,-60.20572214865667,1926-01-01
65,1927,-92.16666666666667,3.3360465,0.68417215,-96.02336456710427,-97.12845674675656,-104.75525170817181,-110.31565769482498,-99.19484572151865,-151.1561217094971,-58.35438170684652,1927-01-01
66,1928,-79.33333333333333,3.3360465,0.68417215,-92.32707821098992,-92.6061722593598,-102.89448954682857,-108.3777780559029,-97.41120103775424,-149.28618142174543,-56.502797671911694,1928-01-01
67,1929,-131.83333333333334,3.3360465,0.68417215,-89.82359166991142,-89.46833814330532,-101.03372738548526,-106.44090501191066,-95.62654975905987,-147.41648487172358,-54.65096989924695,1929-01-01
68,1930,-83.33333333333333,3.3360465,0.68417215,-88.58545265653962,-87.8516707931426,-99.17296522414202,-104.5050816675737,-93.84084878071033,-145.54703220030657,-52.79889824797747,1930-01-01
69,1931,-74.83333333333333,3.3360465,0.68417215,-88.5423823909411,-87.72118443537548,-97.31220306279872,-102.57035297712643,-92.054053148471,-143.67782354462798,-50.94658258096945,1931-01-01
70,1932,-90.0,3.3360465,0.68417215,-89.48920833954719,-88.87414015843999,-95.45144090145544,-100.63676578514452,-90.26611601776636,-141.8088590380696,-49.094022764841256,1932-01-01
71,1933,-135.66666666666666,3.3360465,0.68417215,-91.1090231281851,-90.96293012990098,-93.59067874011217,-98.70436886074876,-88.47698861947558,-139.9401388102508,-47.24121866997352,1933-01-01
72,1934,-121.0,3.3360465,0.68417215,-93.00895555971726,-93.53431393779027,-91.7299165787689,-96.77321292372207,-86.68662023381572,-138.07166298701833,-45.388170170519466,1934-01-01
73,1935,-73.66666666666667,3.3360465,0.68417215,-94.76451607163605,-96.08057824195171,-89.86915441742562,-94.84335066091768,-84.89495817393356,-136.20343169043647,-43.53487714441476,1935-01-01
74,1936,-59.333333333333336,3.3360465,0.68417215,-95.96751112640524,-98.09684507396298,-88.00839225608235,-92.9148367311736,-83.1019477809911,-134.33544503877764,-41.68133947338706,1936-01-01
75,1937,-74.83333333333333,3.3360465,0.68417215,-96.27211818295461,-99.13806009359777,-86.14763009473907,-90.98772775678754,-81.3075324326906,-132.46770314651272,-39.82755704296542,1937-01-01
76,1938,-61.166666666666664,3.3360465,0.68417215,-95.43392052270454,-98.86922823479738,-84.2868679333958,-89.06208229945427,-79.51165356733732,-130.60020612430245,-37.97352974248915,1938-01-01
77,1939,-96.83333333333333,3.3360465,0.68417215,-93.33749586208879,-97.10322637711258,-82.42610577205252,-87.1379608184314,-77.71425072567365,-128.73295407898837,-36.119257465116675,1939-01-01
78,1940,-89.5,3.3360465,0.68417215,-90.00944467842484,-93.82192492565986,-80.56534361070925,-85.21542560858751,-75.91526161283099,-126.86594711358458,-34.26474010783391,1940-01-01
79,1941,-125.0,3.3360465,0.68417215,-85.61538767282917,-89.17823419473768,-78.70458144936597,-83.29454071590936,-74.11462218282259,-124.99918532726959,-32.40997757146236,1941-01-01
80,1942,-109.5,3.3360465,0.68417215,-80.44127128247771,-83.47884460892055,-76.8438192880227,-81.37537182801317,-72.31226674803223,-123.13266881537837,-30.554969760667035,1942-01-01
81,1943,-59.333333333333336,3.3360465,0.68417215,-74.86109138828274,-77.14960892675803,-74.98305712667943,-79.4579861372327,-70.50812811612616,-121.26639766939493,-28.699716583963927,1943-01-01
82,1944,-49.333333333333336,3.3360465,0.68417215,-69.29467841444102,-70.68747397925935,-73.12229496533612,-77.54245217395655,-68.7021377567157,-119.40037197694498,-26.844217953727266,1944-01-01
83,1945,-57.666666666666664,3.3360465,0.68417215,-64.16030883976666,-64.60438764301371,-71.26153280399285,-75.62883960807446,-66.89422599991124,-117.53459182178915,-24.988473786196558,1945-01-01
84,1946,-68.5,3.3360465,0.68417215,-59.82749211108885,-59.36951256566232,-69.40077064264958,-73.71721901667962,-65.08432226861953,-115.66905728381609,-23.132484001483064,1946-01-01
85,1947,-129.16666666666666,3.3360465,0.68417215,-56.575262150431065,-55.35626928728881,-67.5400084813063,-71.80766161657704,-63.27235534603556,-113.80376843903636,-21.27624852357625,1947-01-01
86,1948,-56.0,2.858907,2.7578495,-55.789141073346336,-52.800186281741006,-65.67924631996303,-69.90023896067403,-61.458253679252024,-111.93872535957628,-19.419767280349774,1948-01-01
87,1949,-42.166666666666664,5.30343,0.3216679,-32.96460044557347,-51.7723146074746,-63.81848415861976,-67.99502259798761,-59.64194571925191,-110.07392811367221,-17.56304020356731,1949-01-01
88,1950,-43.166666666666664,3.816473,1.2771947,-47.77130033031226,-52.171207997407684,-61.95772199727649,-66.09208369779674,-57.823360296756235,-108.20937676566516,-15.706067228887825,1950-01-01
89,1951,-58.5,1.5250142,1.7796396,-73.13548418078355,-53.73437363761813,-60.09695983593321,-64.19149263938843,-56.002427032478,-106.34507137599559,-13.84884829587083,1951-01-01
90,1952,-34.166666666666664,3.4400053,-0.038776614,-57.4543860550647,-56.06790112470546,-58.23619767458994,-62.29331856988545,-54.17907677929443,-104.48101200119876,-11.99138334798112,1952-01-01
91,1953,-73.16666666666667,2.9387922,0.068978846,-64.62763480609428,-58.69092522411302,-56.375435513246664,-60.39762893377566,-52.35324209271767,-102.61719869390001,-10.133672332593314,1953-01-01
92,1954,-45.5,4.9915295,1.3730128,-41.23449974232901,-61.089903681846366,-54.514673351903376,-58.50448897895691,-50.524857724849845,-100.75363150281072,-8.275715200996025,1954-01-01
93,1955,-36.333333333333336,1.7126894,-0.22835702,-81.10035606054377,-62.776583464842716,-52.6539111905601,-56.6139612453252,-48.693861135795004,-98.89031047272442,-6.417511908395774,1955-01-01
94,1956,-93.83333333333333,1.9961172,0.000106403706,-77.44265459147273,-63.34311247272518,-50.79314902921683,-54.72610504311275,-46.8601930153209,-97.02723564451313,-4.559062413920522,1956-01-01
95,1957,-60.833333333333336,2.2547548,0.1852093,-72.93599049667014,-62.50807596947276,-48.932386867873554,-52.840975929269725,-45.02379780647738,-95.16440705512414,-2.700366680622963,1957-01-01
96,1958,-50.666666666666664,2.2449813,0.16877215,-70.49054987578879,-60.14826135857737,-47.07162470653028,-50.95862519110989,-43.18462422195067,-93.3018247375771,-0.8414246754834451,1958-01-01
97,1959,-93.16666666666667,0.14023231,0.20452765,-89.69261085415198,-56.312565842891026,-45.21086254518699,-49.07909934714328,-41.342625743230705,-91.43948872096135,1.0177636305873605,1959-01-01
98,1960,-54.833333333333336,0.39210004,0.10180432,-82.3980333586804,-51.216477137767086,-43.35010038384372,-47.2024396754335,-39.49776109225393,-89.57739903043355,2.877198262746127,1960-01-01
99,1961,12.833333333333334,3.1401722,0.21283843,-46.72492849327622,-45.217750228702414,-41.48933822250044,-45.32868177989077,-37.649994665110114,-87.71555568721581,4.736879242214918,1961-01-01
100,1962,-39.666666666666664,3.64171,-0.080028,-36.17362696247097,-38.77602566696661,-39.62857606115717,-43.45785520460614,-35.7992969177082,-85.85395870859378,6.596806586279449,1962-01-01
101,1963,-97.0,0.13734382,0.23429385,-68.47942012906803,-32.40094750055843,-37.767813899813895,-41.58998310562656,-33.94564469400123,-83.9926081079155,8.456980308287712,1963-01-01
102,1964,-76.5,0.996338,-0.014845498,-54.692982049909276,-26.59463704504075,-35.90705173847062,-39.72508198846898,-32.08902148847226,-82.13150389459014,10.317400417648905,1964-01-01
103,1965,-21.833333333333332,2.9756749,-0.057570625,-29.16808011649251,-21.795015785120228,-34.04628957712735,-37.86316151820332,-30.229417636051373,-80.27064607408741,12.178066919832716,1965-01-01
104,1966,7.666666666666667,2.8802073,0.040577337,-27.23954797165656,-18.32637485194341,-32.18552741578407,-36.004224407150915,-28.366830424417227,-78.41003464793695,14.038979816368816,1966-01-01
105,1967,35.166666666666664,9.196815,1.3286175,45.90535007090632,-16.36277056161067,-30.324765254440784,-34.14826638322392,-26.501264125657645,-76.5496696137284,15.90013910484683,1967-01-01
106,1968,-29.333333333333332,0.853368,0.012949069,-47.655495673005916,-15.908377754792525,-28.46400309309751,-32.29527623976407,-24.632729946430953,-74.68955096511141,17.761544778916395,1968-01-01
107,1969,-43.0,0.55541885,-0.009784522,-51.707923974781494,-16.79701856030082,-26.603240931754236,-30.445235965530465,-22.761245897978007,-72.82967869179629,19.623196828287824,1969-01-01
108,1970,-9.833333333333334,4.2492,0.08066217,-12.60202679996764,-18.710919773572137,-24.742478770410962,-28.59812095134331,-20.886836589478612,-70.97005277955475,21.485095238732825,1970-01-01
109,1971,-60.166666666666664,1.1129643,-0.005539008,-48.97031533364844,-21.21658160517967,-22.881716609067688,-26.75390026791432,-19.009532950221054,-69.11067321022104,23.34723999208566,1971-01-01
110,1972,-88.33333333333333,0.33752108,0.5689417,-58.17691407268526,-23.813709103318182,-21.020954447724407,-24.912537007676548,-17.129371887772265,-67.25153996169345,25.20963106624464,1972-01-01
111,1973,-20.5,5.2323146,-0.33183584,-7.6951493374871305,-25.99168310085165,-19.160192286381132,-23.073988682035743,-15.246395890726522,-65.39265300793608,27.072268435173804,1973-01-01
112,1974,-16.666666666666668,4.475806,0.34382138,-15.207547764729014,-27.287196511351812,-17.29943012503786,-21.238207664450943,-13.360652585624774,-63.53401231898081,28.93515206890509,1974-01-01
113,1975,-52.0,1.3508413,-0.021781223,-49.55236807414583,-27.33655025942901,-15.438667963694577,-19.405141669136423,-11.472194258252731,-61.67561786092982,30.798281933540665,1975-01-01
114,1976,-75.5,0.50272703,-0.014485825,-57.01242912130597,-25.916705926083694,-13.577905802351303,-17.574734254958287,-9.58107734974432,-59.817469595958286,32.66165799125568,1976-01-01
115,1977,-24.166666666666668,3.4437194,0.48148364,-20.805931686358626,-22.970461279067976,-11.717143641008029,-15.746925344252825,-7.687361937763233,-57.9595674823173,34.52528020030124,1977-01-01
116,1978,-31.833333333333332,3.2926567,0.1732222,-18.878936890389802,-18.61290699249998,-9.856381479664755,-13.921651746777991,-5.7911112125515185,-56.10191147433728,36.38914851500777,1978-01-01
117,1979,-22.333333333333332,2.9034595,0.9794639,-16.55808617025263,-13.118435751512305,-7.995619318321481,-12.09884767976737,-3.892390956875592,-54.24450152243161,38.25326288578865,1979-01-01
118,1980,5.0,3.2153962,0.05390751,-9.402220067891754,-6.889770093255667,-6.1348571569781996,-10.278445276024723,-1.9912690379316764,-52.38733757310058,40.11762325914418,1980-01-01
119,1981,39.0,4.775985,0.022679903,13.226585260244143,-0.4125049762607631,-4.2740949956349255,-8.46037507310988,-0.08781491815997189,-50.53041956893565,41.9822295776658,1981-01-01
120,1982,15.333333333333334,3.0092428,1.2455628,1.5102985988202775,5.799703900333011,-2.4133328342916442,-6.644566477858792,1.8179008092755033,-48.67374744862401,43.847081780040725,1982-01-01
121,1983,52.833333333333336,4.976384,0.5348254,26.215593868742424,11.263119142302777,-0.5525706729483701,-4.830948201694042,3.725806855797302,-46.81732114695349,45.71217980105675,1983-01-01
122,1984,-9.5,2.5496292,0.3237051,2.76088462959812,15.578523667969083,1.308191488394904,-3.0194486633653996,5.6358316401552075,-44.961140594817714,47.57752357160752,1984-01-01
123,1985,-6.5,3.1703155,0.7953676,12.76429499577138,18.476282459466137,3.168953649738178,-1.2099963568742025,7.547903656350559,-43.10520571922164,49.44311301869799,1985-01-01
124,1986,-13.0,3.5693567,0.817585,18.2122304549657,19.846777698577455,5.029715811081452,0.5974798166511244,9.46195180551178,-41.2495164432873,51.3089480654502,1986-01-01
125,1987,-20.5,1.8130171,0.13053775,-2.469263781556684,19.752781911788922,6.890477972424733,2.4030502534672884,11.377905691382178,-39.39407268625995,53.17502863110942,1987-01-01
