# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and tide [mm relative to NAP(2005)]
# predicted_linear -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and 0 nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
index,year,height,u2,v2,predicted_linear_with_wind,predicted_linear,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,date
28,1890,-194.66666666666666,3.3482018,0.66977715,-164.41781114744438,-167.77670849255094,-173.41488822170152,-182.36833552726424,-164.4614409161388,-220.58133645970537,-126.24843998369766,1890-01-01
29,1891,-179.0,3.3482018,0.66977715,-160.93826103671708,-163.58042886789707,-171.5583553198581,-180.41238285806614,-162.70432778165005,-218.70603208533782,-124.41067855437838,1891-01-01
30,1892,-166.5,3.3482018,0.66977715,-158.65745734495735,-160.79567439869783,-169.70182241801467,-178.4566968019655,-160.94694803406384,-216.83097948891472,-122.57266534711462,1892-01-01
31,1893,-142.16666666666666,3.3482018,0.66977715,-157.62328976848286,-159.51947186408606,-167.84528951617122,-176.50128652100696,-159.18929251133548,-214.95617896736428,-120.73440006497816,1893-01-01
32,1894,-141.83333333333334,3.3482018,0.66977715,-157.74293356745736,-159.67856977812457,-165.9887566143278,-174.54616157460902,-157.43135165404658,-213.0816308140308,-118.89588241462478,1894-01-01
33,1895,-173.0,3.3482018,0.66977715,-158.79332718704012,-161.03770667388255,-164.13222371248435,-172.5913319396156,-155.6731154853531,-211.20733531865187,-117.05711210631682,1895-01-01
34,1896,-185.0,3.3482018,0.66977715,-160.4463503992127,-163.22616631410375,-162.27569081064092,-170.63680803144032,-153.91457358984152,-209.33329276733605,-115.2180888539458,1896-01-01
35,1897,-179.33333333333334,3.3482018,0.66977715,-162.3058609747558,-165.77962240086867,-160.41915790879747,-168.6826007263603,-152.15571509123464,-207.45950344254052,-113.37881237505442,1897-01-01
36,1898,-138.33333333333334,3.3482018,0.66977715,-163.95240935959944,-168.19254954973704,-158.56262500695405,-166.72872138502032,-150.39652862888778,-205.58596762304927,-111.53928239085883,1898-01-01
37,1899,-141.0,3.3482018,0.66977715,-164.99058417265684,-169.97528462349288,-156.70609210511063,-164.77518187720744,-148.6370023330138,-203.7126855839511,-109.69949862627017,1899-01-01
