,t,name,psmsl_id,ddl_id,latitude,longitude,station_name,surge
0,1989-03-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.20479588
3,1989-03-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.14824559
4,1989-03-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.17446259
0,1989-04-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',-0.052020133
1,1989-04-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',-0.05026789
2,1989-04-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',-0.066804916
3,1989-04-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',-0.0242078
4,1989-04-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',-0.038234692
5,1989-04-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',-0.009772364
0,1989-05-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',-0.033592362
1,1989-05-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',-0.059941437
2,1989-05-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',-0.055671006
3,1989-05-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',-0.051406454
4,1989-05-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',-0.057000384
5,1989-05-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',-0.046111144
5,1989-06-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',-0.01684045
4,1989-06-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',-0.024826061
1,1989-06-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',-0.028850216
2,1989-06-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',-0.026371384
3,1989-06-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',-0.020902356
0,1989-06-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',-0.009464342
1,1989-07-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',-0.027551588
2,1989-07-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',-0.017112026
3,1989-07-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',-0.02290034
4,1989-07-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',-0.02535013
5,1989-07-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',-0.021712227
0,1989-07-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.019675024
5,1989-08-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.07870376
4,1989-08-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.09455252
1,1989-08-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.09911822
0,1989-08-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.12774704
3,1989-08-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.086681634
2,1989-08-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.115912534
0,1989-09-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.016956193
1,1989-09-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.0063262326
2,1989-09-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.007933045
3,1989-09-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.011907813
4,1989-09-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.009613445
5,1989-09-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.013084332
1,1989-10-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.12903883
0,1989-10-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.14389783
3,1989-10-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.08966079
4,1989-10-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.11586686
5,1989-10-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.06735292
2,1989-10-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.17052929
0,1989-11-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.031285394
1,1989-11-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.026795233
2,1989-11-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.040709034
3,1989-11-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.010401868
4,1989-11-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.019269697
5,1989-11-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.001689749
4,1989-12-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.14484811
5,1989-12-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.115998864
3,1989-12-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.1280487
1,1989-12-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.14769977
0,1989-12-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.12978429
2,1989-12-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.16741279
0,1990-01-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.24712153
1,1990-01-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.2246745
2,1990-01-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.30668956
3,1990-01-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.13625722
4,1990-01-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.19119622
5,1990-01-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.091502585
4,1990-02-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.39862952
3,1990-02-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.33074972
5,1990-02-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.2787754
1,1990-02-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.43024844
0,1990-02-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.45069683
2,1990-02-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.533056
5,1990-03-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.08940603
4,1990-03-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.14640684
3,1990-03-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.11545287
1,1990-03-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.16765475
0,1990-03-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.243337
2,1990-03-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.2305618
0,1990-04-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.029959582
1,1990-04-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.008379022
2,1990-04-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.015308593
3,1990-04-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.00955243
4,1990-04-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.009596579
5,1990-04-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.009886958
3,1990-05-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',-0.077526495
5,1990-05-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',-0.07139432
4,1990-05-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',-0.083549045
1,1990-05-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',-0.0869447
0,1990-05-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',-0.054668684
2,1990-05-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',-0.08318989
4,1990-06-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.038626246
0,1990-06-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.039971724
1,1990-06-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.038462654
2,1990-06-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.05175097
3,1990-06-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.031142972
5,1990-06-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.026368309
4,1990-07-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.01630688
3,1990-07-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.0073029445
5,1990-07-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.0014337049
0,1990-07-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.07057577
1,1990-07-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.0225899
2,1990-07-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.051636178
1,1990-08-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.025543416
3,1990-08-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.015017961
4,1990-08-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.02250287
5,1990-08-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.008427239
2,1990-08-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.04659014
0,1990-08-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.056354184
2,1990-09-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.16490284
0,1990-09-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.1575058
1,1990-09-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.13370848
3,1990-09-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.11278509
4,1990-09-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.12948228
5,1990-09-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.095419295
0,1990-10-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.091687135
1,1990-10-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.111749515
2,1990-10-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.13106392
3,1990-10-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.08782019
4,1990-10-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.10565784
5,1990-10-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.07398255
5,1990-11-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.09944191
4,1990-11-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.11001725
3,1990-11-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.10429534
1,1990-11-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.105717316
0,1990-11-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.09679313
2,1990-11-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.112514995
0,1990-12-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.11985456
1,1990-12-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.10375303
2,1990-12-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.13211547
3,1990-12-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.07787893
4,1990-12-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.09437372
5,1990-12-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.061902475
5,1991-01-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',-0.0033082583
4,1991-01-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.04479018
3,1991-01-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.016117996
1,1991-01-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.063130066
0,1991-01-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.10613466
2,1991-01-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.115999445
5,1991-02-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',-0.081310324
