,NWS_NO_TS_MO_Harlingen,NWS_NO_TS_MO_Ijmuiden,NWS_NO_TS_MO_Vlissingen,id_obs_delfzijl_del_nl_rws,id_obs_denhelder_hel_nl_rws,id_obs_hoekvanholla_hvh_nl_rws,time,filename,variable
410,0.3292428619648149,0.23300619497882485,0.14982207876962753,0.3886238231808011,0.23538551134551883,0.18810591001090163,1994-12-16 11:55:00.000000000,p:\11200665-c3s-codec\2_Hydro\1_RUNS\9_post_processing\2_ERA5\timeseries\Final_set_fixed\reanalysis-waterlevel-1994-m12.nc,waterlevel
411,-0.08828344003268714,-0.0776630678539344,-0.06288477861211168,-0.09073519513361472,-0.08487912055893213,-0.07084616313020889,1980-01-16 11:54:59.999999936,p:\11200665-c3s-codec\2_Hydro\1_RUNS\9_post_processing\2_ERA5\timeseries\Final_set_fixed\reanalysis-surge-1980-m01.nc,surge
412,0.3204530704172144,0.2665669443042444,0.22287186775258347,0.37915005480013514,0.2522035760855448,0.24260591006129328,1996-11-15 23:54:59.999999872,p:\11200665-c3s-codec\2_Hydro\1_RUNS\9_post_processing\2_ERA5\timeseries\Final_set_fixed\reanalysis-waterlevel-1996-m11.nc,waterlevel
413,0.06820109212523584,0.06883432463178604,0.06135599851865078,0.054740353606125655,0.061158736823080144,0.06425684031210334,2002-10-16 11:55:00.000000000,p:\11200665-c3s-codec\2_Hydro\1_RUNS\9_post_processing\2_ERA5\timeseries\Final_set_fixed\reanalysis-surge-2002-m10.nc,surge
414,-0.1007217582553053,-0.10142538308618043,-0.09638747183993039,-0.0923235369296912,-0.10046603223534445,-0.09920080802523842,1982-02-14 23:55:00.000000064,p:\11200665-c3s-codec\2_Hydro\1_RUNS\9_post_processing\2_ERA5\timeseries\Final_set_fixed\reanalysis-surge-1982-m02.nc,surge
415,0.0620200245792909,0.038201392879712345,0.03676702574955476,0.16743914898014495,0.01954608358359177,0.03552847509826701,2016-03-16 11:55:00.000000000,p:\11200665-c3s-codec\2_Hydro\1_RUNS\9_post_processing\2_ERA5\timeseries\Final_set_fixed\reanalysis-waterlevel-2016-m03.nc,waterlevel
416,0.11199791784639712,0.09171021624847694,0.07834206974064863,0.20891498216876278,0.0758083548810747,0.08543133536974588,1999-11-15 23:54:59.999999872,p:\11200665-c3s-codec\2_Hydro\1_RUNS\9_post_processing\2_ERA5\timeseries\Final_set_fixed\reanalysis-tide-1999-m11.nc,tide
417,0.06453839071246315,0.029390553010682077,0.02288745578227489,0.17663678000723843,0.012013825075170357,0.0252075957371098,1982-05-16 11:54:59.999999936,p:\11200665-c3s-codec\2_Hydro\1_RUNS\9_post_processing\2_ERA5\timeseries\Final_set_fixed\reanalysis-waterlevel-1982-m05.nc,waterlevel
418,0.1283011187430449,0.11015731425256965,0.08817503525058437,0.10079297017382655,0.1118262481601735,0.09970637228852984,2016-04-15 23:54:59.999999744,p:\11200665-c3s-codec\2_Hydro\1_RUNS\9_post_processing\2_ERA5\timeseries\Final_set_fixed\reanalysis-surge-2016-m04.nc,surge
419,0.05417693680891753,0.04534316536041446,0.05575141262521382,0.1742266148214691,0.02013472973397587,0.051034977128197705,2012-05-16 11:55:00.000000000,p:\11200665-c3s-codec\2_Hydro\1_RUNS\9_post_processing\2_ERA5\timeseries\Final_set_fixed\reanalysis-waterlevel-2012-m05.nc,waterlevel
