,t,name,ddl_id,surge
89,1991-01-01,NL,NL,0.02699579013613601
90,1991-01-01,Vlissingen,VLISSGN,0.006867477081537447
91,1992-01-01,Delfzijl,DELFZL,0.06504008818011923
92,1992-01-01,Den Helder,DENHDR,0.050964986689164826
93,1992-01-01,Harlingen,HARLGN,0.07228074378786924
94,1992-01-01,Hoek van Holland,HOEKVHLD,0.036494112880824166
95,1992-01-01,IJmuiden,IJMDBTHVN,0.04742260302971702
96,1992-01-01,NL,NL,0.04987194254750111
97,1992-01-01,Vlissingen,VLISSGN,0.027029115250245084
98,1993-01-01,Delfzijl,DELFZL,0.051526462392600836
99,1993-01-01,Den Helder,DENHDR,0.03561123482283358
100,1993-01-01,Harlingen,HARLGN,0.052770795185782315
101,1993-01-01,Hoek van Holland,HOEKVHLD,0.02766019840603567
102,1993-01-01,IJmuiden,IJMDBTHVN,0.034872772980940665
103,1993-01-01,NL,NL,0.0374907502646188
104,1993-01-01,Vlissingen,VLISSGN,0.02250303731615693
105,1994-01-01,Delfzijl,DELFZL,0.08422460835937359
106,1994-01-01,Den Helder,DENHDR,0.07328931335678758
107,1994-01-01,Harlingen,HARLGN,0.09610506412318001
108,1994-01-01,Hoek van Holland,HOEKVHLD,0.05752768144776968
109,1994-01-01,IJmuiden,IJMDBTHVN,0.07002218104133459
110,1994-01-01,NL,NL,0.07142540438687556
111,1994-01-01,Vlissingen,VLISSGN,0.04738357487096362
112,1995-01-01,Delfzijl,DELFZL,0.0682450310709848
113,1995-01-01,Den Helder,DENHDR,0.05085829724493909
114,1995-01-01,Harlingen,HARLGN,0.06827439549953154
115,1995-01-01,Hoek van Holland,HOEKVHLD,0.04201491230601215
116,1995-01-01,IJmuiden,IJMDBTHVN,0.04913225400529496
117,1995-01-01,NL,NL,0.05241672454580461
118,1995-01-01,Vlissingen,VLISSGN,0.035975458293081554
119,1996-01-01,Delfzijl,DELFZL,-0.02218935489043838
120,1996-01-01,Den Helder,DENHDR,-0.030656519826868026
121,1996-01-01,Harlingen,HARLGN,-0.029374088802329733
122,1996-01-01,Hoek van Holland,HOEKVHLD,-0.023807248967709884
123,1996-01-01,IJmuiden,IJMDBTHVN,-0.026632350818147497
124,1996-01-01,NL,NL,-0.025394880821638297
125,1996-01-01,Vlissingen,VLISSGN,-0.019709723369731143
126,1997-01-01,Delfzijl,DELFZL,0.03187365733750471
127,1997-01-01,Den Helder,DENHDR,0.014084795885400412
128,1997-01-01,Harlingen,HARLGN,0.029660466678236446
129,1997-01-01,Hoek van Holland,HOEKVHLD,0.003971911124783021
130,1997-01-01,IJmuiden,IJMDBTHVN,0.01086013938925446
131,1997-01-01,NL,NL,0.014875057793847502
132,1997-01-01,Vlissingen,VLISSGN,-0.0012006229950650917
133,1998-01-01,Delfzijl,DELFZL,0.0953606385788689
134,1998-01-01,Den Helder,DENHDR,0.08777602319541858
135,1998-01-01,Harlingen,HARLGN,0.11240862174189253
136,1998-01-01,Hoek van Holland,HOEKVHLD,0.06973931727522652
137,1998-01-01,IJmuiden,IJMDBTHVN,0.08405679927705086
138,1998-01-01,NL,NL,0.08443737006554865
139,1998-01-01,Vlissingen,VLISSGN,0.05728281842519159
140,1999-01-01,Delfzijl,DELFZL,0.09046432728343325
141,1999-01-01,Den Helder,DENHDR,0.08121001378263104
142,1999-01-01,Harlingen,HARLGN,0.10375661936505659
143,1999-01-01,Hoek van Holland,HOEKVHLD,0.06416590325279187
144,1999-01-01,IJmuiden,IJMDBTHVN,0.07693623758291136
145,1999-01-01,NL,NL,0.07823951842186794
146,1999-01-01,Vlissingen,VLISSGN,0.05290400642703912
147,2000-01-01,Delfzijl,DELFZL,0.07946694475252568
148,2000-01-01,Den Helder,DENHDR,0.07363157453081606
149,2000-01-01,Harlingen,HARLGN,0.0962245983015644
150,2000-01-01,Hoek van Holland,HOEKVHLD,0.05444158247768716
151,2000-01-01,IJmuiden,IJMDBTHVN,0.06851718715224109
152,2000-01-01,NL,NL,0.06919086851367899
153,2000-01-01,Vlissingen,VLISSGN,0.04286332851876326
154,2001-01-01,Delfzijl,DELFZL,0.062213645886457586
155,2001-01-01,Den Helder,DENHDR,0.05571799745132559
156,2001-01-01,Harlingen,HARLGN,0.0697309200384029
157,2001-01-01,Hoek van Holland,HOEKVHLD,0.04871003021014063
158,2001-01-01,IJmuiden,IJMDBTHVN,0.05574633134656573
159,2001-01-01,NL,NL,0.055705855200497735
160,2001-01-01,Vlissingen,VLISSGN,0.04211621136940403
161,2002-01-01,Delfzijl,DELFZL,0.03537430310468764
162,2002-01-01,Den Helder,DENHDR,0.02888474149273849
163,2002-01-01,Harlingen,HARLGN,0.04386105152861254
